pkh-570-94,PKher,*hɔlad,blade,"munda1968proto[p. 94, SEAlang record 570]"
pkh-632-98,PKher,*hɔlɔŋ,flour,"munda1968proto[p. 98, SEAlang record 632]"
pkh-527-91,PKher,*hɔn,child,"munda1968proto[p. 91, SEAlang record 527]"
pkh-583-94,PKher,*hɔnaŋ,perhaps,"munda1968proto[p. 94, SEAlang record 583]"
pkh-548-92,PKher,*hɔra,path,"munda1968proto[p. 92, SEAlang record 548]"
pkh-592-95,PKher,*hɔrɔ,tortoise,"munda1968proto[p. 95, SEAlang record 592]"
pkh-624-97,PKher,*hɔrɔʔ,to insert,"munda1968proto[p. 97, SEAlang record 624]"
pkh-605-96,PKher,*hɔsɔd ~ *hɔsrɔd,to move,"munda1968proto[p. 96, SEAlang record 605]"
pkh-642-99,PKher,*hɔsɔr,to descend,"munda1968proto[p. 99, SEAlang record 642]"
pkh-480-87,PKher,*hɔsɛɟ,to tear off,"munda1968proto[p. 87, SEAlang record 480]"
pkh-537-92,PKher,*hɔɛɔ,wind,"munda1968proto[p. 92, SEAlang record 537]"
pkh-547-92,PKher,*hɔɲ-har,father/elder brother-in-law,"munda1968proto[p. 92, SEAlang record 547]"
pkh-576-94,PKher,*hɔɳɖa(ʔ),to stir,"munda1968proto[p. 94, SEAlang record 576]"
pkh-593-95,PKher,*hɔɽmɔ,body,"munda1968proto[p. 95, SEAlang record 593]"
pkh-536-91,PKher,*hɔɽɔ,man,"munda1968proto[p. 91, SEAlang record 536]"
pkh-478-87,PKher,*hɔɽɛɟ,kind of pulse,"munda1968proto[p. 87, SEAlang record 478]"
pkh-1139-135x2,PKher,*hɔʈaʔ,to stir,"munda1968proto[p. 135-2, SEAlang record 1139]"
pkh-641-99,PKher,*hɔʈɔr,to pierce,"munda1968proto[p. 99, SEAlang record 641]"
pkh-625-97,PKher,*hɔʈɔʔ,neck,"munda1968proto[p. 97, SEAlang record 625]"
