Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Evidence_Language_ID,Evidence_Form,Basis
2714,ThuiYasin,bɑˈlugun,tomato,bɑˈlugun̪,11503,Gahorabad,bɑlugun,same gloss + exact normalized phonemic form (stress ignored)
2715,Hussainabad,gobi,cabbage,gobi,4270,Gupis,ˈgobi,same gloss + exact normalized phonemic form (stress ignored)
2716,Murtazabad,gobi,cabbage,gobi,4270,Gupis,ˈgobi,same gloss + exact normalized phonemic form (stress ignored)
2718,Ganish,gobi,cabbage,gobi,4270,Gupis,ˈgobi,same gloss + exact normalized phonemic form (stress ignored)
2723,ThuiYasin,gobi,cabbage,gobi,4270,Gupis,ˈgobi,same gloss + exact normalized phonemic form (stress ignored)
4151,Passu,meˈwɑ,fruit,meˈβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
4152,Shimshal,meˈwɑ,fruit,meˈβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
4153,Chapursan,miˈwɑ,fruit,miˈβ̞ɑ,n772,Domaaki,miˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
4154,Yasin,meˈwɑ,fruit,meˈβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
4155,Ishkoman,meˈwɑ,fruit,meˈβ̞ɑ,n772,Gupis,meˈwɑ,same gloss + exact normalized phonemic form (stress ignored)
4167,Shimshal,ɑˈlu,potato,ɑˈlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
4169,Yasin,ɑˈlu,potato,ɑˈlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
4170,Ishkoman,ɑˈlu,potato,ɑˈlu,1388,Domaaki,ˈɑlu,same gloss + exact normalized phonemic form (stress ignored)
4201,Yasin,bɑlugʊn,tomato,bɑlugʊn̪,11503,Gupis,bɑluˈgʊn,same gloss + exact normalized phonemic form (stress ignored)
4202,Ishkoman,bɑlugʊn,tomato,bɑlugʊn̪,11503,Gupis,bɑluˈgʊn,same gloss + exact normalized phonemic form (stress ignored)
4610,Passu,nʌo,nine,n̪ɜo,6984,Domaaki,nʌo,same gloss + exact normalized phonemic form (stress ignored)
4611,Shimshal,nɑo,nine,n̪ɑo,6984,Kharmang,nɑo,same gloss + exact normalized phonemic form (stress ignored)
4612,Chapursan,nʌo,nine,n̪ɜo,6984,Domaaki,nʌo,same gloss + exact normalized phonemic form (stress ignored)
4613,Yasin,nɑo,nine,n̪ɑo,6984,Kharmang,nɑo,same gloss + exact normalized phonemic form (stress ignored)
4614,Ishkoman,nɑo,nine,n̪ɑo,6984,Kharmang,nɑo,same gloss + exact normalized phonemic form (stress ignored)
4640,Shimshal,koi,who,koi,2574,DashkinAstor,koi,same gloss + exact normalized phonemic form (stress ignored)
4816,Passu,tu,you,t̪u,5889,Rondu,tu,same gloss + exact normalized phonemic form (stress ignored)
4817,Shimshal,tu,you,t̪u,5889,Rondu,tu,same gloss + exact normalized phonemic form (stress ignored)
4818,Chapursan,tu,you,t̪u,5889,Rondu,tu,same gloss + exact normalized phonemic form (stress ignored)
4819,Yasin,tu,you,t̪u,5889,Rondu,tu,same gloss + exact normalized phonemic form (stress ignored)
4820,Ishkoman,tu,you,t̪u,5889,Rondu,tu,same gloss + exact normalized phonemic form (stress ignored)
4871,Domaaki,tʰʌl,roof,t̪ʰɜl,5731,ChilasJelil,tʰʌl,same gloss + exact normalized phonemic form (stress ignored)
5745,HunzaNasirabad,kui,village,kui,3232,Rondu,kui,same gloss + exact normalized phonemic form (stress ignored)
5751,NagarChalt,kui,village,kui,3232,Rondu,kui,same gloss + exact normalized phonemic form (stress ignored)
6779,Haramosh,tɑˈgɑ,mud,t̪ɑˈgɑ,5626,NagarChalt,tɑˈgɑ,same gloss + exact normalized phonemic form (stress ignored)
7130,HunzaNasirabad,brʌs,rice,br̪ɜs̪,12233,Domaaki,brʌs,same gloss + exact normalized phonemic form (stress ignored)
7146,Kharmang,brʌs,rice,br̪ɜs̪,12233,Domaaki,brʌs,same gloss + exact normalized phonemic form (stress ignored)
10290,Bunji,ˈʌlʌg,different,ˈɜlɜg,700,Astor,ˈʌlʌg,same gloss + exact normalized phonemic form (stress ignored)
10295,DashkinAstor,ˈʌlʌg ˈʌlʌg,different,ˈɜlɜg+ˈɜlɜg,700,Gultari,ˈʌlʌg ˈʌlʌg,same gloss + exact normalized phonemic form (stress ignored)
10447,Satpara,lɑ,many,lɑ,9193,Gahorabad,lɑ,same gloss + exact normalized phonemic form (stress ignored)
10480,Gultari,ˈbuḍe,all,ˈbuɖe,9568,Dras,buḍe,same gloss + exact normalized phonemic form (stress ignored)
