Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,148,140,4,kədapi V.,kədapi,V.,to cross.,89.29,,ghatage-kasargod1970:p140:e4,ghatage-kasargod1970:p140:e4,,
ocr_unreviewed,source transcription requires human verification,148,140,5,kədsou V.,kədsou,V.,to delay.,95.02,,ghatage-kasargod1970:p140:e5,ghatage-kasargod1970:p140:e5,,
ocr_unreviewed,source transcription requires human verification,148,140,6,kəņəkt F.,kəņəkt,F.,bamboo.,85.26,,ghatage-kasargod1970:p140:e6,ghatage-kasargod1970:p140:e6,,
ocr_unreviewed,source transcription requires human verification,148,140,7,kəppt. N.,kəppt.,N.,cup.,80.93,kəppt.,ghatage-kasargod1970:p140:e7,ghatage-kasargod1970:p140:e7,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,8,kəppali ~ kəpali N.,kəppali ~ kəpali,N.,forehead.,91.26,,ghatage-kasargod1970:p140:e8,ghatage-kasargod1970:p140:e8|ghatage-kasargod1970:p140:e8:variant:1,,
ocr_unreviewed,source transcription requires human verification,148,140,9,kərgəlļi N.,kərgəlļi,N.,"marble, ball.",80.92,,ghatage-kasargod1970:p140:e9,ghatage-kasargod1970:p140:e9,,
verified,Seeded audit correction of the final low front vowel.,148,140,10,kərgəle N.,kərgəlɛ,N.,bangle.,94.65,,ghatage-kasargod1970:p140:e10,ghatage-kasargod1970:p140:e10,,human-corrected
ocr_unreviewed,source transcription requires human verification,148,140,11,kərgou V.,kərgou,V.,"to dissolve, to melt.",92.19,,ghatage-kasargod1970:p140:e11,ghatage-kasargod1970:p140:e11,,
ocr_unreviewed,source transcription requires human verification,148,140,12,kərči kə:ri V.,kərči kə:ri,V.,to ‘spend.,77.39,‘spend.,ghatage-kasargod1970:p140:e12,ghatage-kasargod1970:p140:e12,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,13,kərjurə M.,kərjurə,M.,date palm.,81.85,kərjurə,ghatage-kasargod1970:p140:e13,ghatage-kasargod1970:p140:e13,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,14,kəvi M.,kəvi,M.,"poet, author.",95.26,,ghatage-kasargod1970:p140:e14,ghatage-kasargod1970:p140:e14,,
ocr_unreviewed,source transcription requires human verification,148,140,15,kəse Adv.,kəse,Adv.,how.,85.04,,ghatage-kasargod1970:p140:e15,ghatage-kasargod1970:p140:e15,,
ocr_unreviewed,source transcription requires human verification,148,140,16,kə:ņt V.,kə:ņt,V.,to dig.,84.18,kə:ņt,ghatage-kasargod1970:p140:e16,ghatage-kasargod1970:p140:e16,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,17,ksirt V.,ksirt,V.,to do.,72.77,ksirt,ghatage-kasargod1970:p140:e17,ghatage-kasargod1970:p140:e17,,low-confidence
verified,Seeded audit correction of the final central high vowel.,148,140,18,kə:li Adv.,kə:lɨ,Adv.,yesterday.,89.85,,ghatage-kasargod1970:p140:e18,ghatage-kasargod1970:p140:e18,,human-corrected
ocr_unreviewed,source transcription requires human verification,148,140,19,kilgi F.,kilgi,F.,pit.,95.02,,ghatage-kasargod1970:p140:e19,ghatage-kasargod1970:p140:e19,,
ocr_unreviewed,source transcription requires human verification,148,140,20,kilgi Adj.,kilgi,Adj.,deep.,93.77,,ghatage-kasargod1970:p140:e20,ghatage-kasargod1970:p140:e20,,
ocr_unreviewed,source transcription requires human verification,148,140,21,kišti Adj.,kišti,Adj.,difficult.,63.22,kišti,ghatage-kasargod1970:p140:e21,ghatage-kasargod1970:p140:e21,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,22,kakeči mundu N.,kakeči mundu,N.,armpit.,87.63,,ghatage-kasargod1970:p140:e22,ghatage-kasargod1970:p140:e22,,
ocr_unreviewed,source transcription requires human verification,148,140,23,kajaki N.,kajaki,N.,coconut skin.,93.00,,ghatage-kasargod1970:p140:e23,ghatage-kasargod1970:p140:e23,,
ocr_unreviewed,source transcription requires human verification,148,140,24,kaja:li N.,kaja:li,N.,collyrium.,89.16,,ghatage-kasargod1970:p140:e24,ghatage-kasargod1970:p140:e24,,
ocr_unreviewed,source transcription requires human verification,148,140,25,kaju M.,kaju,M.,cashew nut.,91.79,,ghatage-kasargod1970:p140:e25,ghatage-kasargod1970:p140:e25,,
ocr_unreviewed,source transcription requires human verification,148,140,26,kați F.,kați,F.,stick.,90.35,,ghatage-kasargod1970:p140:e26,ghatage-kasargod1970:p140:e26,,
ocr_unreviewed,source transcription requires human verification,148,140,27,kattoni M.,kattoni,M.,building.,58.74,building.,ghatage-kasargod1970:p140:e27,ghatage-kasargod1970:p140:e27,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,28,kadlela Adj.,kadlela,Adj.,open ` (door ete.),72.19,` | (door,ghatage-kasargod1970:p140:e28,ghatage-kasargod1970:p140:e28,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,29,kane N.,kane,N.,food.,87.23,,ghatage-kasargod1970:p140:e29,ghatage-kasargod1970:p140:e29,,
ocr_unreviewed,source transcription requires human verification,148,140,30,kaņndali N.,kaņndali,N.,"net,",71.38,kaņndali,ghatage-kasargod1970:p140:e30,ghatage-kasargod1970:p140:e30,,low-confidence
ocr_unreviewed,source transcription requires human verification,148,140,31,kaņndou V.,kaņndou,V.,"to itch., to scratch.",81.78,kaņndou,ghatage-kasargod1970:p140:e31,ghatage-kasargod1970:p140:e31,,low-confidence
