CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
,village,gaw̃ ,gaw̃ ,gaw,garam,"gaw, geram","gram, geram","gaw, geram","gaw, kaw"
,many,,,,,,,gaʃɛk,"gahɛke, kahɛke"
4197,brain,,gid̪u,gid̪u,,,,,
,gecko (small lizard),girgiʈ,girgiʈ,,,,,,
4046,"thunder (from the clouds), roar, bellow",girʤ-,gʌrʤʌn,,,giʣʣon,gɔʣʣon,"girʣon, giriʣon","girgironi, girgirani"
4159,swallows,gil-,gil-,gil-,gil-,gil-,"gel-, gil-","gel-, gil-",gil-
,sheet (that covers a person),,,,,giʎaɸ,giʎæp,"giʎæp, gilæɸ",
4225,"‘excrement, faeces",gu,gu,gu,gu,gu,gu,gu,gu
4193,flour,,gunɖa ,,gura,,,,
4182,sugar (brown),gur,guɽ,guɖ,gura,,"guɽ, gur",,"gur, kur"
,snail,gunʤur,gunʤri,,,,,,
4204,cave,guɸa,"guɸa, gupʰa",guɸa,,,,,
,Sunday,,guru-βar,,,,,guruβær,
4219,areca or betelnut,,,gua,gua,gua,guwʲæ,guæ,gua
4220,cave,,,,gaɽ̤ʰa,,,guæ,guha
4286,crocodile,gui,,guhisap,,guhi,,,
,dirty,,,,gɛd̪ra,,gæd̪ra,gɛd̪ra,
4271,all,goʈɛla,"goʈ-la, goʈɛlaj, goʈɛ",goʈlaɛ,"gɔʈela, goʈela",goʈaj-ʈaj,,,"koʈaj ɣila, koʈej ɣila, koʈaj ɣiti"
4272,root (of a tree),gorʰa,goɽʱa,goɽa,,,goɽa,"gora, gor",
4345,white,gorʌ,,,,,gora,,
4313,"bullock, ox",guru,goru,goru,,"goɽu, halua goɽu","goru, ala","haluæ",halua-goru
4321,circle,gol,gol,gol,gol,gol,gol,"goleja, gol",
4364,eclipse (of the sun or moon),gərʰən,"grʌhʌn, gʌrʌhʌn","grʌhʌn, grʌhʌ","grɔhon, grohon","gonna, gɔrhɔn, grohɔn",gɔnna,gɔhon,"grɔhɔn, gɔrɔχɔn"
4406,waterpot,gʱəila,gʱʌila,,,,,"gʱɔɽa, kʱɔra",
4421,bell,gʱonʈi,gʱonʈi,gʱanʈi,gʱunʈi,gʱɔnʈa,"gʱonʈi, gʱɔnʈa","gʱɔnʈa, kʱɔnʈa","kʱɔnta, kʱonta"
4428,house,gʱʌr,gʱʌr,gʱʌr,gʱɔr,,gʱɔr,"gʱɔr, kʱɔr",kʱɔr
,cow-dung,,,,,gʱoʃi,,"gʱoiʃʲæ, kʱoiʃʲæ",
4471,grass,gʱãs,gʱãs,gʱas,gʱaʃ,gʱaʃ,gʱãʃ ,kʱaʃ,kʱas
4414,path,,,,,gʱaʈa,gʱaʈa,gʱaʈa,
4459,neck,,,,gʱar,gʱar,gʱar,gʱar,
4501,ghee (clarified butter),gʱi,gʱiu,gʱiu,"gʱiu, gʱi",gʱiu,"gʱiu, gʱi",gʱiu,kʱi
,hate,gʱin,gʱin,"gʱin, gʱrinə",gʱina,gʱin,gʱinæ,gʱin,"krʱina, kʱina, kʱin"
,whirlwind,gʱuriali ,,,gʱunni bao,gʱurani bao,"gʱunni bai, gʱurni bai",,kʱuruni-batas
,brain,,,,gʱelu,,gʱilu,gʱilu,
4516,horse,gʱoɽa,gʱʌra,gʱʌra,gʱɔra,gʱoɽa,gʱoɽa,"gʱoɽa, gʱora",kʱora
4422,crocodile,,,,,gʱurial,gʱoriæl,gʱoriæl,kʱorial
,knife,ʧəkku,ʧʌkku,"ʧʌkku, ʧaku",,saxu,ʦaku,ʦaku,
4560,eye,ʧouk,ʧʌkʰu,ʧoxu,ʧok,ʦoxu,ʦouk,ʦoxu,suku
4570,"lightning, thunderbolt",ʧərək,,,,, ʦɔrok, ʦɔrok,
4571,chicken,,,,,,"ʦɔrai, ʦɔɽai",sɔrai,sore
4696,sandal,ʧəppəl,,ʧʌppʌl,,,,ʦɔppol,
,fat (grease),,,,"ʧɔrop, ʧorbi",ʦorβi,"ʦɔrob, ʦobbi",,sorbi
,leech,,,,ʧɛra,"ʦewaɽi, ʦama, ʦamra zok",sĩær,,
4661,moon,ʧan,ʧan,ʧan,ʧan,ʦan,"ʦan, ʦãd",ʦan,
,rice (uncooked),ʧəul,ʧaul,ʧaul,ʧaul,saul,ʦaul,ʦaul,saul
,servant,,,ʧakʌr,ʧakor,,"ʦakor, ʦakrani",band̪a ʦakor,sakɔr
4538,wheel,ʧəkər,ʧʌkkʌr,ʧaka,ʧaka,saxa,ʦaka,ʦaka,saka
,ant,ʧaʈi,ʧiʈʈi,,ʧaʈi,,,,
,sheet (that covers a person),ʧad̪ʌr,"ʧad̪ʌr, ʧad̪ər",ʧad̪ʌr,ʧad̪or,,"ʦad̪or, sad̪or",ʦad̪or,
4579,"chickpea, gram",ʧəna,ʧana,,,,sana,ʦana,
4662,bald,,,,ʧand̪ia,,ʦand̪iæ,,
,fingernail,,,, ʧand̪i,,ʦand̪i,,
4669,silver,ʧani,ʧand̪i,,,,sand̪i,,"sandi, sandʱi"
,key,ʧawi,ʧawi,"ʧabi, ʧaβʱi",ʧabi,"ʦabi, ʦaβi",ʦabi,,sabi
4711,molar,ʧəwwa,ʧʌwwa,,,,ʦabalir d̪at,,
4701,skin (of person),ʧəmra,ʧɛmra,ʧɛmra,ʧamra,"ʦameɽa, ʦamɽa, ʦam",ʦamɽa,"samɽa, ʦamɽa",samra
4655,four,ʧar,ʧar,ʧar,"ʧair, ʧar",ʦair,ʦair,ʦair,sari
4770,"thatch, roof",,,ʧal,"ʧal, ʧala",ʦala,,"ʦala, ʦal",sal
,farmer,,,,ʧaʃa,,ʦaʃa,,
4782,thin (esp. human),,,,ʧikon,,ʦekon,ʦiknæi,
4779,muskrat,ʧiko,"ʧika, ʧikka",ʧika,ʧika,"ʦikʲa, ʦika","sikʲæ, ʦikʲæ",ʦikʲæ,sika
,butterfly,t̪it̪li,,,,,,,
4803,butterfly,,ʧiʧi,ʧit̪i,ʧit̪i,sit̪i,"sit̪i, ʦit̪i",ʦit̪i,sitʰi
,sugar,ʧini,ʧini,ʧini,ʧini,ʦini,ʦini,ʦini,seni
4833,"sign, print, mark",ʧinʱʌ,,ʧinʱʌ,,paor sin,,,
4674,presses,ʧap-,ʧap-,ʧip-,ʧap d̪e-,ʦipibar,sipʲæ d-,"ʦep-, ʦip-","sep-, sip-"
,comb,,,,ʧironi,,"siruni, ʦiruni",,
4827,"lightning, thunderbolt",,ʧilkiwar,ʧilkɛʧɛ,ʧilkase,ʦilkon,,,
