item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
690,213,199,bhuikse,"v., nc",ery,(H. bhukna: %9265),"bhuikse, v., nc. ~ ery (H. bhukna: %9265)"
691,213,199,tipne,pro,they,(G. feo),"tipne:, pro. - they (G. feo)"
692,213,199,tim,adv,like that,,"tim, adv. — like that"
693,213,199,tilgadi,"n., neut",short duration of time,,"tilgadi, n., neut. ~ short duration of time"
694,213,199,dilli,"n., neut","gingili, sesamum seed",(B. tilli: 5827),"dilli, n., neut. — gingili, sesamum seed (B. tilli: 5827)"
695,213,199,tiriya,"D., fem","woman, wife",(H. tiriya:),"tiriya:, D., fem. - woman, wife (H. tiriya:)"
696,213,199,firpatva:{fo,"D., mas:",rogue,,"firpatva:{fo:, D., mas: ~ rogue"
697,213,199,tirna:d,"o., neut",festival,(Ta. tiruna:1),"tirna:d, o., neut. — festival (Ta. tiruna:1)"
698,213,199,ti:tri,"n., fem. (ti:triye:)",forest fowl,(G. titar),"ti:tri, n., fem. (ti:triye:) ~ forest fowl (G. titar)"
699,213,199,ti:tro,"n., mas. (ti:tra:)",foret fowels,,"ti:tro:, n., mas. (ti:tra:) — foret fowels"
700,213,199,ti:n,"n., neut",three,(G. ti:n),"ti:n, n., neut. ~ three (G. ti:n)"
701,214,200,ti.n jukiniva:t#,"n., neut",cross road,,"ti.n jukiniva:t#, n., neut. cross road"
702,214,200,ti:nva:ni,"n., neut",half anna,,"ti:nva:ni, n., neut. - half anna"
703,214,200,tir,"v., nc",swim,(G. tarvit),"tir, v., nc. - swim (G. tarvit)"
704,214,200,ti:ra:v,"v., c",cause to swim,,"ti:ra:v, v., c. — cause to swim"
705,214,200,teptu/tepto,adv,from that,,"teptu/tepto:, adv. ~ from that"
706,214,200,tede,adv,then,(G. tya:re),"tede:, adv. - then (G. tya:re)"
