unit|region|pdf_page|form|gloss|context
ex3:1:3|interlinear|19|daan|tooth|example=3; language=Kalk; translation=This tooth of mine hurts badly.
ex3:1:4|interlinear|19|bääḍ|much|example=3; language=Kalk; translation=This tooth of mine hurts badly.
ex3:1:5|interlinear|19|šil-uun|give.pain-IPFV.MSG|example=3; language=Kalk; translation=This tooth of mine hurts badly.
ex4:1:1|interlinear|19|mi|I.ERG|example=4; language=Kalk; translation=I brought a letter from him.
ex4:1:2|interlinear|19|täs|him|example=4; language=Kalk; translation=I brought a letter from him.
ex4:1:3|interlinear|19|daa|from|example=4; language=Kalk; translation=I brought a letter from him.
ex4:1:4|interlinear|19|xat|letter|example=4; language=Kalk; translation=I brought a letter from him.
ex4:1:5|interlinear|19|ɡiyaal|bring.PFV|example=4; language=Kalk; translation=I brought a letter from him.
ex5:1:1|interlinear|19|thi|you(SG).ERG|example=5; language=Kalk; translation=Did you see that white house?
ex5:1:2|interlinear|19|äär|that|example=5; language=Kalk; translation=Did you see that white house?
ex5:1:3|interlinear|19|pänär|white|example=5; language=Kalk; translation=Did you see that white house?
ex5:1:4|interlinear|19|šii|house|example=5; language=Kalk; translation=Did you see that white house?
ex5:1:5|interlinear|19|driṣ=ää|see.PFV=Q|example=5; language=Kalk; translation=Did you see that white house?
ex6:1:1|interlinear|20|ɡulus|Gulus|example=6; language=Kalk; translation=Gulus was bleeding from his head.
ex6:1:2|interlinear|20|koopär|skull|example=6; language=Kalk; translation=Gulus was bleeding from his head.
ex6:1:3|interlinear|20|daa|from|example=6; language=Kalk; translation=Gulus was bleeding from his head.
ex6:1:4|interlinear|20|raat|blood|example=6; language=Kalk; translation=Gulus was bleeding from his head.
ex6:1:5|interlinear|20|nikh-uun-s|come.out-IPFV.MSG-PST|example=6; language=Kalk; translation=Gulus was bleeding from his head.
ex7:1:1|interlinear|20|zumaan|Zaman|example=7; language=Kalk; translation=Zaman remembers this man.
ex7:1:2|interlinear|20|tee|to|example=7; language=Kalk; translation=Zaman remembers this man.
ex7:1:3|interlinear|20|un|this|example=7; language=Kalk; translation=Zaman remembers this man.
ex7:1:4|interlinear|20|meeš|man|example=7; language=Kalk; translation=Zaman remembers this man.
ex7:1:5|interlinear|20|yaad|memory|example=7; language=Kalk; translation=Zaman remembers this man.
ex7:1:6|interlinear|20|in|be.PRS|example=7; language=Kalk; translation=Zaman remembers this man.
ex8:1:1|interlinear|20|äsi|our|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex8:1:2|interlinear|20|draam|village|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
ex8:1:3|interlinear|20|mi|in|example=8; language=Kalk; translation=In our village, there is a place called Shelkin.
