Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:4f6e0a81b6,,angrezí,Kho-Bashir-src-mnn,n,"small breed of dog with erect, pointed ears",,17,4
head,bashir:khowar:764e90880a,,angupáng,Kho-Bashir-src-ar,adj,neither awake nor asleep,,17,4
head,bashir:khowar:4ede5a4050,,angúšṭe šahadát,Kho-Bashir-src-iwa,n,second finger,,17,4
head,bashir:khowar:b5708d7e86,,aníč,Kho-Bashir-src-mnn,n,forehead (of horse),[< Ir. (M:1936)],17,4
head,bashir:khowar:b912455c29,,aníši,Kho-Bashir-src-swka,n,meat of ibex,,17,4
head,bashir:khowar:e31412bc09,,anǰás dik,Kho-Bashir-src-mnn,tr verb,to repair an iron tool by welding a small piece onto it,,17,4
head,bashir:khowar:09da94bdf2,,anǰík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-swka,tr verb,to wear,[< Skt. (M:1973) (T1260)],17,4
subentry,bashir:khowar:09da94bdf2:subentry:1,bashir:khowar:09da94bdf2,anǰéik,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-swka,tr verb,to cause to/help to put on (garment),Subentry of anǰík,17,4
head,bashir:khowar:fb10652cec,,anǰíl,Kho-Bashir-src-rakr,n,two hands cupped together,[< Skt. (M:1973)],17,4
head,bashir:khowar:681ee7f544,,-ánu,Kho-Bashir-src-swka,n,suffix meaning a place for x (where x is the noun to which -ánu is suffixed),,17,4
head,bashir:khowar:a623301417,,anús,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-swka,n,day,[< Skt. (M:1973)],18,5
head,bashir:khowar:e927ce6b62,,ánuts,Kho-Bashir-src-mak|Kho-Bashir-src-chitral-town|Kho-Bashir-src-mnn,n,"moisture, dampness in floor when a house is near the river",,18,5
variant,bashir:khowar:e927ce6b62:variant:1,bashir:khowar:e927ce6b62,ánuz,Kho-Bashir-src-mak|Kho-Bashir-src-chitral-town|Kho-Bashir-src-mnn,n,"moisture, dampness in floor when a house is near the river",Other pronunciation of ánuts: ánuz (MNN),18,5
head,bashir:khowar:f61159666f,,anʋáz,Kho-Bashir-src-mnn|Kho-Bashir-src-zmz,n,morning breeze (just before dawn),,18,5
head,bashir:khowar:5844cc17ca,,anzéik,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-iwa,tr verb,"to send (an inanimate object or (rarely) some non- human animates, e.g. a dog",[< Ir. (M:1936)],18,5
variant,bashir:khowar:5844cc17ca:variant:1,bashir:khowar:5844cc17ca,andzéik,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-iwa,tr verb,"to send (an inanimate object or (rarely) some non- human animates, e.g. a dog",Other pronunciation of anzéik: andzéik (MNN),18,5
head,bashir:khowar:249348ac5f,,apák,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,mouth,,18,5
subentry,bashir:khowar:249348ac5f:subentry:1,bashir:khowar:249348ac5f,apakṣúṣi,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adj,dry- mouthed,Subentry of apák,18,5
subentry,bashir:khowar:249348ac5f:subentry:2,bashir:khowar:249348ac5f,loṭapéki,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adj,"big-mouthed, applied to one who talks too much",Subentry of apák,18,5
subentry,bashir:khowar:249348ac5f:subentry:3,bashir:khowar:249348ac5f,tseqapéki,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,person who displays tasteless behavior,Subentry of apák,18,5
head,bashir:khowar:2a7bb7675d,,apnúz,Kho-Bashir-src-rakr,n,a place where the ground remains wet,,18,5
head,bashir:khowar:5fb1c88dc0,,aphéik,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,tr verb,"to pull out, pluck (feathers, hair)",,18,5
variant,bashir:khowar:5fb1c88dc0:variant:1,bashir:khowar:5fb1c88dc0,apheék,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,tr verb,"to pull out, pluck (feathers, hair)",Other pronunciation of aphéik: apheék,18,5
head,bashir:khowar:fe7fe74ab8,,aqá,Kho-Bashir-src-swka,n,master,,18,5
head,bashir:khowar:853144294d,,aqaláṣ,Kho-Bashir-src-booni,adv,until,,18,5
head,bashir:khowar:f7c982c2b0,,aq korík,Kho-Bashir-src-rakr,tr verb,to vomit,,18,5
head,bashir:khowar:044bfa5139,,aqtatháru,Kho-Bashir-src-ms,n,"best quality of charas, which gives off oil when heated",,18,5
head,bashir:khowar:1f456a5146,,-ar,Kho-Bashir-src-mnn,,from,,18,5
variant,bashir:khowar:1f456a5146:variant:1,bashir:khowar:1f456a5146,ari,Kho-Bashir-src-mnn,,from,Other pronunciation of -ar: -ari,18,5
head,bashir:khowar:2ce08fa436,,aráb,Kho-Bashir-src-tmf,n,the Arab world,,18,5
head,bashir:khowar:b0606df928,,arabá,Kho-Bashir-src-iwa|Kho-Bashir-src-mnn,n,wheel of a vehicle,[< Turkic],18,5
head,bashir:khowar:ab69e0fc74,,arám,Kho-Bashir-src-rakr|Kho-Bashir-src-if,n,leisure,,18,5
subentry,bashir:khowar:ab69e0fc74:subentry:1,bashir:khowar:ab69e0fc74,aráma,Kho-Bashir-src-rakr|Kho-Bashir-src-if,adv,"slowly, without hurry",Subentry of arám,18,5
subentry,bashir:khowar:ab69e0fc74:subentry:2,bashir:khowar:ab69e0fc74,arámi,Kho-Bashir-src-rakr|Kho-Bashir-src-if,n,"rest, peace (in general)",Subentry of arám,18,5
head,bashir:khowar:3a903c9ebb,,arandú,Kho-Bashir-src-mnn,n,"town in Lower Chitral, near Afghanistan border",,18,5
subentry,bashir:khowar:3a903c9ebb:subentry:1,bashir:khowar:3a903c9ebb,arandʋí,Kho-Bashir-src-mnn,n,person from Arandu,Subentry of arandú,18,5
head,bashir:khowar:6aa18ba3f9,,aráq,Kho-Bashir-src-rakr,n,essence (liquid substance),,18,5
head,bashir:khowar:a2914323d2,,araráʋ,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,n,persistent questioning to find out something,,18,5
subentry,bashir:khowar:a2914323d2:subentry:1,bashir:khowar:a2914323d2,araráʋ drek,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,tr verb,to question continuously,Subentry of araráʋ,18,5
head,bashir:khowar:d3b3255a52,,ar korík,Kho-Bashir-src-swka,intr tr verb,to consider something to be beneath one,,18,5
head,bashir:khowar:38afbe01dc,,armán,Kho-Bashir-src-mk|Kho-Bashir-src-rakr,interj,wish,,18,5
head,bashir:khowar:c35c8b70bd,,arqá,Kho-Bashir-src-mnn,n,upper back,[Also in Wakhi; from either other Pamir languages or Turkic],18,5
head,bashir:khowar:61a9bba48e,,-árum,Kho-Bashir-src-ms,n,things to be V-ed,,18,5
head,bashir:khowar:96873cbb92,,arzán,Kho-Bashir-src-rkb,adj,cheap,,18,5
head,bashir:khowar:b867ecffe9,,arzí korík,Kho-Bashir-src-swka,,to institute a legal case,,18,5
head,bashir:khowar:c374abc4ee,,asám,Kho-Bashir-src-mnn,intr verb,Let me be!,,18,5
head,bashir:khowar:54d2f6b807,bashir:donor:TurkicUnspec:57163b1117,asaqál,Kho-Bashir-src-swka,n,supervisor,[< Turkic aqsaqal ‘elder’],18,5
subentry,bashir:khowar:54d2f6b807:subentry:1,bashir:khowar:54d2f6b807,loṭasaqál,Kho-Bashir-src-swka,adj,proud,Subentry of asaqál,18,5
head,bashir:khowar:61130d30fc,,asár¹,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,intr verb,"let him, her, it be",,18,5
head,bashir:khowar:61130d30fc,,asár²,Kho-Bashir-src-swka|Kho-Bashir-src-laspur-women|Kho-Bashir-src-if|Kho-Bashir-src-ms,n,thick wall of rocks,[< Skt. (M:1973) (T1492)],18,5
head,bashir:khowar:61130d30fc,,asár³,Kho-Bashir-src-rakr,n,essence,,18,5
head,bashir:khowar:f7e9538117,,asík,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,intr verb,"to be (existential, of animate entities)",[< Skt. (M:1973) (T1480)],18,5
head,bashir:khowar:8cd599e078,,asíp,Kho-Bashir-src-s|Kho-Bashir-src-mnn,n,dread of jinns and other supernatural beings,,19,6
head,bashir:khowar:b2906863fc,,asmán,Kho-Bashir-src-swka|Kho-Bashir-src-mnn,n,sky,,19,6
head,bashir:khowar:57ada3aa64,,aspatál,Kho-Bashir-src-mnn,n,hospital,[< Eng.],19,6
head,bashir:khowar:ba58488e44,,asqán,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adj,easy,,19,6
subentry,bashir:khowar:ba58488e44:subentry:1,bashir:khowar:ba58488e44,asqaní,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,ease,Subentry of asqán,19,6
subentry,bashir:khowar:ba58488e44:subentry:2,bashir:khowar:ba58488e44,asqanía,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adv,easily,Subentry of asqán,19,6
head,bashir:khowar:ff24bb4e3a,,asqár,Kho-Bashir-src-mnn,n,lungs,[< Ir. (M:1936)],19,6
head,bashir:khowar:995e87d610,,-ásum,Kho-Bashir-src-iwa,,morpheme suffixed to verb stem indicating one who characteristically performs an action,,19,6
head,bashir:khowar:606c2e8355,,asúmbar,Kho-Bashir-src-if,n,a medicinal plant,,19,6
head,bashir:khowar:13f6e1ba13,,ásur,Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,damp place in the earth which freezes,,19,6
head,bashir:khowar:d683a1a84e,,asuretánu,Kho-Bashir-src-mnn,n,person from Ashret,,19,6
head,bashir:khowar:0dec804914,,asurγáɫi,Kho-Bashir-src-mak|Kho-Bashir-src-if|Kho-Bashir-src-sonoghor|Kho-Bashir-src-parwak,n,large piece of wood at top of a plow - synonym of xaṭáki and ṭaṭáki,,19,6
head,bashir:khowar:36547632ec,,ašéq,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,adj,in love with,,19,6
variant,bashir:khowar:36547632ec:variant:1,bashir:khowar:36547632ec,ašék,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,adj,in love with,Other pronunciation of ašéq: ašék,19,6
head,bashir:khowar:0bba48ed27,,aškár,Kho-Bashir-src-rakr,adj,famous,,19,6
head,bashir:khowar:89f1ef287b,,ašná,Kho-Bashir-src-ics,n,friend,,19,6
head,bashir:khowar:8dd180ee3e,,ašquɫá,Kho-Bashir-src-mnn|Kho-Bashir-src-ics,n,"hawk-like, tan- colored bird which eats bones; considered an auspicious bird",,19,6
variant,bashir:khowar:8dd180ee3e:variant:1,bashir:khowar:8dd180ee3e,ašqoɫá,Kho-Bashir-src-mnn|Kho-Bashir-src-ics,n,"hawk-like, tan- colored bird which eats bones; considered an auspicious bird",Other pronunciation of ašquɫá: ašqoɫá,19,6
head,bashir:khowar:5f432b82d7,,ašrafí,Kho-Bashir-src-wsic,n,gold coin,,19,6
head,bashir:khowar:e65f273ddd,,ašrú,Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-gnk,n,tears,[< Skt. (M:1973)],19,6
head,bashir:khowar:1d4149035f,,aṣkóɫič,Kho-Bashir-src-ms|Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,small irrigation channel in field,,19,6
variant,bashir:khowar:1d4149035f:variant:1,bashir:khowar:1d4149035f,aṣqóɫič,Kho-Bashir-src-ms|Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,small irrigation channel in field,"Other pronunciation of aṣkóɫič: aṣqóɫič (MNN), aškóɫič (MA)",19,6
variant,bashir:khowar:1d4149035f:variant:2,bashir:khowar:1d4149035f,aškóɫič,Kho-Bashir-src-ms|Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,small irrigation channel in field,"Other pronunciation of aṣkóɫič: aṣqóɫič (MNN), aškóɫič (MA)",19,6
head,bashir:khowar:75f94eec25,,aṣúṣum,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,a type of fodder,,19,6
head,bashir:khowar:f0dd25f3b6,,atepík,Kho-Bashir-src-mnn,tr verb,to warm (someone),[< Skt. (T1763)],19,6
head,bashir:khowar:fe0580580b,,a̍tešxaná,Kho-Bashir-src-rakr,n,place in matchlock rifle where fuse is touched to powder,[< Prs.],19,6
variant,bashir:khowar:fe0580580b:variant:1,bashir:khowar:fe0580580b,a̍ teškhaná,Kho-Bashir-src-rakr,n,place in matchlock rifle where fuse is touched to powder,Other pronunciation of a̍tešxaná: a̍teškhaná,19,6
head,bashir:khowar:ffd5a05d8a,,atrec̣ík,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,tr verb,"to tear, rip (cloth)",,19,6
head,bashir:khowar:20b4ad0086,,-átum,Kho-Bashir-src-iwa,adj,morpheme suffixed to verb stem indicating something in a state related to the verb,,19,6
head,bashir:khowar:f4df15d3b6,,atháhrk,Kho-Bashir-src-mnn,n,a famous hunting ground and pasture at the foot of Terichmir,,19,6
variant,bashir:khowar:f4df15d3b6:variant:1,bashir:khowar:f4df15d3b6,atháhk,Kho-Bashir-src-mnn,n,a famous hunting ground and pasture at the foot of Terichmir,Other pronunciation of atháhrk: atháhk,19,6
head,bashir:khowar:5d4406cb55,,aṭíli,Kho-Bashir-src-rakr|Kho-Bashir-src-if,adj,describes water carrying a lot of sediment and stones,,19,6
head,bashir:khowar:7728ea32ef,,aʋá,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,,í (first-person singular pronoun),[< Skt. (M:1973) (T992)],19,6
head,bashir:khowar:9d6996f7e2,,aʋán,Kho-Bashir-src-swka|Kho-Bashir-src-gnk,n,shirt front,,19,6
head,bashir:khowar:927b8fb84d,,aʋehtík,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-if,tr verb,to flip bread while cooking it,[IF] [< Skt. (M:1973) (T1419)],19,6
variant,bashir:khowar:927b8fb84d:variant:1,bashir:khowar:927b8fb84d,aʋehrtík,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-if|Kho-Bashir-reg-laspur,tr verb,to flip bread while cooking it,"Other pronunciation of aʋehtík: aʋehrtík (MA, Laspur [IF])",19,6
head,bashir:khowar:e455684bd9,,aʋeló,Kho-Bashir-src-swka|Kho-Bashir-src-chitral-town,,first,,19,6
variant,bashir:khowar:e455684bd9:variant:1,bashir:khowar:e455684bd9,aʋelánu,Kho-Bashir-src-swka|Kho-Bashir-src-chitral-town,,first,Other pronunciation of aʋeló: aʋelánu,19,6
subentry,bashir:khowar:e455684bd9:subentry:1,bashir:khowar:e455684bd9,aʋeláno,Kho-Bashir-src-swka|Kho-Bashir-src-chitral-town|Kho-Bashir-reg-chitral-town,n,the first one,Subentry of aʋeló,19,6
head,bashir:khowar:4abe1739a9,,aʋe̍logardá,Kho-Bashir-src-ms,n,third quality of charas,,19,6
head,bashir:khowar:8c39f55e56,,aʋerík,Kho-Bashir-src-swka|Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,tr verb,to snatch away,[< Skt. (M:1973) (T1414)]; Morphology: causative formation of aʋerík,19,6
subentry,bashir:khowar:8c39f55e56:subentry:1,bashir:khowar:8c39f55e56,aʋeréik,Kho-Bashir-src-swka|Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,tr verb,to make (someone) snatch something away,Subentry of aʋerík; Morphology: causative formation of aʋerík,19,6
head,bashir:khowar:3e67f746a8,,aʋgáʋ,Kho-Bashir-src-mnn|Kho-Bashir-src-if,adj,very old (of an animal),,20,7
head,bashir:khowar:036461cee4,,áʋi,Kho-Bashir-src-iwk|Kho-Bashir-src-swka,,"village on the left bank of the Chitral River, above Booni",,20,7
subentry,bashir:khowar:036461cee4:subentry:1,bashir:khowar:036461cee4,aʋéku,Kho-Bashir-src-iwk|Kho-Bashir-src-swka,n,person from Awi,Subentry of áʋi,20,7
head,bashir:khowar:c2de8cb4c5,,aʋizán,Kho-Bashir-src-arc,adj,agitated,[< Prs.],20,7
head,bashir:khowar:02b7fc3295,,aʋǰí,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,adj,misled,,20,7
subentry,bashir:khowar:02b7fc3295:subentry:1,bashir:khowar:02b7fc3295,aʋǰí bik,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,intr verb,to be persuaded,Subentry of aʋǰí,20,7
head,bashir:khowar:ac6547c69a,,aʋlán,Kho-Bashir-src-rakr,n,leather patch (especially on traditional skin boots),,20,7
head,bashir:khowar:f8b0372316,,aʋnár,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,n,"small bread, like ṭíki, baked for goatherds (in each house in the village)",,20,7
head,bashir:khowar:d0840c87d9,,aʋnáẓ,Kho-Bashir-src-mnn,n,second plowing - which creates furrows in a field,,20,7
subentry,bashir:khowar:d0840c87d9:subentry:1,bashir:khowar:d0840c87d9,aʋneẓík,Kho-Bashir-src-mnn,tr verb,to plow furrows in a field,Subentry of aʋnáẓ,20,7
head,bashir:khowar:ff17b21aa1,,aʋoóγ,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,green algae,[< Skt. (M:1973) also (T727c) and/or (T2327)],20,7
variant,bashir:khowar:ff17b21aa1:variant:1,bashir:khowar:ff17b21aa1,haʋoóγ,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-if|Kho-Bashir-reg-laspur,n,green algae,"Other pronunciation of aʋoóγ: haʋoóγ (in Laspur, IF)",20,7
head,bashir:khowar:e0f02c5bd6,,aʋr,Kho-Bashir-src-mak,n,piers upon which ends of a bridge rest,,20,7
head,bashir:khowar:df42820e22,,aʋrát,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,n,woman,"[< Ar., Prs.]",20,7
head,bashir:khowar:828b6eaab0,,aʋráy,Kho-Bashir-src-zmz,n,breeeze which comes from the south (downcountry) during the time between the fajr prayer and sunrise,,20,7
variant,bashir:khowar:828b6eaab0:variant:1,bashir:khowar:828b6eaab0,oráy,Kho-Bashir-src-zmz,n,breeeze which comes from the south (downcountry) during the time between the fajr prayer and sunrise,Other pronunciation of aʋráy: oráy,20,7
head,bashir:khowar:dae5fb99db,,aʋrík,Kho-Bashir-src-mnn,intr verb,to ride on something,[< Ir. (M:1936) also (T1334)],20,7
subentry,bashir:khowar:dae5fb99db:subentry:1,bashir:khowar:dae5fb99db,aʋríni,Kho-Bashir-src-mnn,n,a long stick used to support a load carried on the back when coming downhill,Subentry of aʋrík,20,7
head,bashir:khowar:0b22f1f29b,,aʋsák,Kho-Bashir-src-gnk|Kho-Bashir-src-chitral-town|Kho-Bashir-src-mulkhow,n,fallen leaves and grass which can partially clog a water channel at a narrow place,,20,7
head,bashir:khowar:a9397616f9,,aʋsét,Kho-Bashir-src-mnn,,wasted,[< Skt. √sañj (T464)],20,7
variant,bashir:khowar:a9397616f9:variant:1,bashir:khowar:a9397616f9,aʋsát,Kho-Bashir-src-mnn,,wasted,Other pronunciation of aʋsét: aʋsát,20,7
head,bashir:khowar:5c2aad5724,,aʋšáɫu,Kho-Bashir-src-mnn,n,testicles,,20,7
head,bashir:khowar:af27a9f9d3,,aʋṣekíli,Kho-Bashir-src-mnn,n,a sloughed off snake skin,,20,7
head,bashir:khowar:ef5075bc91,,aʋṣúṣ,Kho-Bashir-src-parwak,n,"supernatural being, a snake-like creature which lives in a house in the shape of a woman",,20,7
head,bashir:khowar:f1ca4b7df8,,aʋzétu,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-if,n,heifer (young cow),[< Ir. (M:1936)],20,7
head,bashir:khowar:ec9cbdce57,,aʋẓeék,Kho-Bashir-src-mnn|Kho-Bashir-reg-lower-chitral,tr verb,to increase,,20,7
head,bashir:khowar:4be28751f1,,axbár,Kho-Bashir-src-chitral-town,n,newspaper,[< Ur.],20,7
head,bashir:khowar:78070db3e2,,axér,Kho-Bashir-src-swka|Kho-Bashir-src-if,n,end,,20,7
subentry,bashir:khowar:78070db3e2:subentry:1,bashir:khowar:78070db3e2,axerí,Kho-Bashir-src-swka|Kho-Bashir-src-if,adj,last,Subentry of axér,20,7
subentry,bashir:khowar:78070db3e2:subentry:2,bashir:khowar:78070db3e2,axeránu,Kho-Bashir-src-swka|Kho-Bashir-src-if,adj,the very last,Subentry of axér,20,7
subentry,bashir:khowar:78070db3e2:subentry:3,bashir:khowar:78070db3e2,axeraná,Kho-Bashir-src-swka|Kho-Bashir-src-if,adj,final; last,Subentry of axér,20,7
head,bashir:khowar:3127332360,,axlík,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic|Kho-Bashir-src-swka|Kho-Bashir-src-mys,tr verb,to comb,[< Skt. (M:1973) (T1382)],20,7
subentry,bashir:khowar:3127332360:subentry:1,bashir:khowar:3127332360,axlíni,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic|Kho-Bashir-src-swka|Kho-Bashir-src-mys,n,comb,Subentry of axlík,20,7
head,bashir:khowar:92179fe10f,,axmáq,Kho-Bashir-src-rakr,adj,foolish,,20,7
head,bashir:khowar:94a4a31908,,axtaí,Kho-Bashir-src-mnn,n,castrated animal,,20,7
head,bashir:khowar:64bf43d8c7,,áxur,Kho-Bashir-src-mak|Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-if|Kho-Bashir-src-parwak|Kho-Bashir-src-mys,n,feeding trough,"[< Ir. (M:1936), compare Torwali axor]",20,7
variant,bashir:khowar:64bf43d8c7:variant:1,bashir:khowar:64bf43d8c7,axraánu,Kho-Bashir-src-mak|Kho-Bashir-src-ma|Kho-Bashir-src-swka|Kho-Bashir-src-if|Kho-Bashir-src-parwak|Kho-Bashir-src-mys,n,feeding trough,Other pronunciation of áxur: axraánu (MYS),20,7
head,bashir:khowar:d5811e7b53,,ayás,Kho-Bashir-src-sg,n,cool breeze,,21,8
head,bashir:khowar:58ebeed4e5,,ayh,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-mys|Kho-Bashir-src-iwa,adv,"up, upward",[< Skt. (M:1973)],21,8
subentry,bashir:khowar:58ebeed4e5:subentry:1,bashir:khowar:58ebeed4e5,ayh ganík,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-mys|Kho-Bashir-src-iwa,intr verb,to quarrel without reason,Subentry of ayh,21,8
subentry,bashir:khowar:58ebeed4e5:subentry:2,bashir:khowar:58ebeed4e5,ayh toríru,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-mys|Kho-Bashir-src-iwa,adj,very shrewd,Subentry of ayh,21,8
subentry,bashir:khowar:58ebeed4e5:subentry:3,bashir:khowar:58ebeed4e5,ayhbiyú dik,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-mys|Kho-Bashir-src-iwa,tr intr verb,to be in a fit of grief or anger,Subentry of ayh,21,8
head,bashir:khowar:8c1f595b2c,,ayí,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,snake,[< Skt. (M:1973) (T994)],21,8
variant,bashir:khowar:8c1f595b2c:variant:1,bashir:khowar:8c1f595b2c,hayí,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-reg-laspur,n,snake,"Other pronunciation of ayí: hayí (Laspur, IF)",21,8
head,bashir:khowar:ebee1a7594,,aynák,Kho-Bashir-src-mnn,n,eyeglasses,,21,8
head,bashir:khowar:a0193ccdf3,,ayúkun,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,egg,[< Ir. (M:1936)],21,8
variant,bashir:khowar:a0193ccdf3:variant:1,bashir:khowar:a0193ccdf3,áykun,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,egg,Other pronunciation of ayúkun: áykun,21,8
subentry,bashir:khowar:a0193ccdf3:subentry:1,bashir:khowar:a0193ccdf3,aykunoóγ,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,curry dish made with raw eggs in spicy gravy,Subentry of ayúkun,21,8
subentry,bashir:khowar:a0193ccdf3:subentry:2,bashir:khowar:a0193ccdf3,ayúkun dreék,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,tr verb,to lay an egg,Subentry of ayúkun,21,8
head,bashir:khowar:2f214505bf,,azáb,Kho-Bashir-src-rakr|Kho-Bashir-src-swka,n,trouble,,21,8
head,bashir:khowar:486f4133f7,,azazíl,Kho-Bashir-src-mnn,adj,"naughty, mischievous",[< Ar. ‘devil’],21,8
head,bashir:khowar:1ca5fc577d,,azbár,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,adj,remembered,,21,8
subentry,bashir:khowar:1ca5fc577d:subentry:1,bashir:khowar:1ca5fc577d,azbareék,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,tr verb,"to remember, to learn",Subentry of azbár,21,8
head,bashir:khowar:0ffacdd475,,azdóγ,Kho-Bashir-src-mnn,n,something that remains wet or damp,,21,8
head,bashir:khowar:04b9ac488c,,azgará korík,Kho-Bashir-src-if,tr verb,to clear the throat to let someone know that one is coming,,21,8
head,bashir:khowar:c1fce944eb,,aždár,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,n,dragon,[< Prs.],21,8
head,bashir:khowar:4070a769ea,,ažéli,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,offspring,,21,8
subentry,bashir:khowar:4070a769ea:subentry:1,bashir:khowar:4070a769ea,aželikorélik,Kho-Bashir-src-mnn|Kho-Bashir-src-if,adj,pregnant (of humans),Subentry of ažéli,21,8
head,bashir:khowar:af87a517c0,,ažík,Kho-Bashir-src-mnn|Kho-Bashir-src-mys,intr verb,"to be born (child, young of animal)",[< Skt. (M:1973) (T1092)],21,8
subentry,bashir:khowar:af87a517c0:subentry:1,bashir:khowar:af87a517c0,ažéik,Kho-Bashir-src-mnn|Kho-Bashir-src-mys,tr verb,"to cause to start, to initiate",Subentry of ažík,21,8
head,bashir:khowar:fa0ab9044a,,aẓ,Kho-Bashir-src-mnn|Kho-Bashir-src-tmf,adj,intoxicated,,21,8
subentry,bashir:khowar:fa0ab9044a:subentry:1,bashir:khowar:fa0ab9044a,aẓ bik,Kho-Bashir-src-mnn|Kho-Bashir-src-tmf,intr verb,to become unconscious (e.g. of a child after crying),Subentry of aẓ,21,8
head,bashir:khowar:ff9d513eff,,aẓγál,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,wife (honorific),,21,8
