Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:c770553ad3,,tab angík,Kho-Bashir-src-zmz|Kho-Bashir-src-gmkh,intr tr verb,to tolerate,,142,129
head,bashir:khowar:b97c7122a8,,tabarukí,Kho-Bashir-src-iwk,adj,revered,,142,129
head,bashir:khowar:2bfdd57922,,tabyatí,Kho-Bashir-src-wsic,adj,happy,,142,129
head,bashir:khowar:6c5ec61eeb,,táčap bik,Kho-Bashir-src-rakr,,to suddenly fall silent in the middle of a conversation,,142,129
head,bashir:khowar:84dc051225,,táčing,Kho-Bashir-src-ms,n,skin leggings (when worn by persons of upper classes),[< Bur. (Lorimer 1938: 336)],142,129
head,bashir:khowar:8618cb450c,,taf,Kho-Bashir-src-rkb|Kho-Bashir-src-swka|Kho-Bashir-src-mnn,n,heat,[< Skt. √tap (T5670)],143,130
subentry,bashir:khowar:8618cb450c:subentry:1,bashir:khowar:8618cb450c,taf korík,Kho-Bashir-src-rkb|Kho-Bashir-src-swka|Kho-Bashir-src-mnn,tr verb,for heat to affect (a living being),Subentry of taf,143,130
head,bashir:khowar:ebded87cad,,tafá,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-if,adj,somewhat better,,143,130
variant,bashir:khowar:ebded87cad:variant:1,bashir:khowar:ebded87cad,thaʋá,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-if|Kho-Bashir-reg-laspur,adj,somewhat better,"Other pronunciation of tafá: thaʋá (in Laspur, IF)",143,130
head,bashir:khowar:5c32a69f27,,taγarmá,Kho-Bashir-src-if,n,village about 145 km. below Khunjerab in Chinese Turkestan,,143,130
head,bashir:khowar:bd7142d9c4,,taγzí,Kho-Bashir-src-iwa,n,"breed of long-legged hunting dog, found in Badakhshan",,143,130
