LSI-GYPSYEUROPEAN,,pǎnj,Five,,pæn̪dʒ,,"grierson-lsi1928[p. 10-11, form GYPSYEUROPEAN-5_five-2, concept 5_five]",,,grierson-lsi1928:GYPSYEUROPEAN-5_five-2,,,,
LSI-GYPSYSYRIAN,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form GYPSYSYRIAN-5_five-1, concept 5_five]",,,grierson-lsi1928:GYPSYSYRIAN-5_five-1,,,,
LSI-SANSKRIT,,pañcha,Five,,pʌɲtʃʌ,,"grierson-lsi1928[p. 10-11, form SANSKRIT-5_five-1, concept 5_five]",,,grierson-lsi1928:SANSKRIT-5_five-1,,,,
LSI-PRAKRIT,,pañcha,Five,,pʌɲtʃʌ,,"grierson-lsi1928[p. 10-11, form PRAKRIT-5_five-1, concept 5_five]",,,grierson-lsi1928:PRAKRIT-5_five-1,,,,
LSI-KHETRANI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form KHETRANI-5_five-1, concept 5_five]",,,grierson-lsi1928:KHETRANI-5_five-1,,,,
LSI-LAHNDAOFSHAHPUR,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form LAHNDAOFSHAHPUR-5_five-1, concept 5_five]",,,grierson-lsi1928:LAHNDAOFSHAHPUR-5_five-1,,,,
LSI-MULTANI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form MULTANI-5_five-1, concept 5_five]",,,grierson-lsi1928:MULTANI-5_five-1,,,,
LSI-HINDKI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form HINDKI-5_five-1, concept 5_five]",,,grierson-lsi1928:HINDKI-5_five-1,,,,
LSI-THALI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form THALI-5_five-1, concept 5_five]",,,grierson-lsi1928:THALI-5_five-1,,,,
LSI-DHANNI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form DHANNI-5_five-1, concept 5_five]",,,grierson-lsi1928:DHANNI-5_five-1,,,,
LSI-TINAULI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form TINAULI-5_five-1, concept 5_five]",,,grierson-lsi1928:TINAULI-5_five-1,,,,
LSI-TINAULIOFSALTRANGE,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form TINAULIOFSALTRANGE-5_five-1, concept 5_five]",,,grierson-lsi1928:TINAULIOFSALTRANGE-5_five-1,,,,
LSI-POTHWARI,,pañ,Five,,pʌɲ,,"grierson-lsi1928[p. 10-11, form POTHWARI-5_five-1, concept 5_five]",,,grierson-lsi1928:POTHWARI-5_five-1,,,,
LSI-CHIBHALI,,pañj,Five,,pʌɲdʒ,,"grierson-lsi1928[p. 10-11, form CHIBHALI-5_five-1, concept 5_five]",,,grierson-lsi1928:CHIBHALI-5_five-1,,,,
LSI-PUNCHHI,,pañj,Five,,pʌɲdʒ,,"grierson-lsi1928[p. 10-11, form PUNCHHI-5_five-1, concept 5_five]",,,grierson-lsi1928:PUNCHHI-5_five-1,,,,
LSI-SINDHIVICHOLI,,panja,Five,,pʌn̪dʒʌ,,"grierson-lsi1928[p. 10-11, form SINDHIVICHOLI-5_five-1, concept 5_five]",,,grierson-lsi1928:SINDHIVICHOLI-5_five-1,,,,
LSI-LARI,,panja,Five,,pʌn̪dʒʌ,,"grierson-lsi1928[p. 10-11, form LARI-5_five-1, concept 5_five]",,,grierson-lsi1928:LARI-5_five-1,,,,
LSI-KACHCHHI,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form KACHCHHI-5_five-1, concept 5_five]",,,grierson-lsi1928:KACHCHHI-5_five-1,,,,
