adil,d2610,sisrī,whistle,,,source label: A Su.; verb,"burrow-emeneau1972den1[p. 401, entry 456]",,DEN I (1972) records this reflex under old main 456; resolved to current DEDR d2610.,burrow-emeneau1972den1:p401:u004:f001,,,,source-addition
Pengo,d2610,sisiri,whistling,,,noun,"burrow-emeneau1972den1[p. 401, entry 456]",,DEN I (1972) records this reflex under old main 456; resolved to current DEDR d2610.,burrow-emeneau1972den1:p401:u004:f002,,,,source-addition
Malayalam,d553,īṟa,anger,,,noun,"burrow-emeneau1972den1[p. 401, entry 471]",,DEN I (1972) records this reflex under old main 471; resolved to current DEDR d553.,burrow-emeneau1972den1:p401:u006:f001,,,,source-addition
Tulu,d562,guppuni,,,,"verb; Entry says add all the items of 1443, with Tulu reconstituted.","burrow-emeneau1972den1[p. 401, entry 480]",,DEN I (1972) records this reflex under old main 480; resolved to current DEDR d562.,burrow-emeneau1972den1:p401:u008:f001,,,,source-addition
Tulu,d562,ugipu,"to spill, pour, shed",,,source label: B-K; verb,"burrow-emeneau1972den1[p. 401, entry 480]",,DEN I (1972) records this reflex under old main 480; resolved to current DEDR d562.,burrow-emeneau1972den1:p401:u008:f002,,,,source-addition
Konda,d587,uRpa- (-t-),"to wear round one’s waist as a loincloth, (woman) to wear a sari",,,verb,"burrow-emeneau1972den1[p. 401, entry 502]",,DEN I (1972) records this reflex under old main 502; resolved to current DEDR d587.,burrow-emeneau1972den1:p401:u011:f001,,,,source-addition
Pengo,d587,uspa-,"to put on, wear (waistcloth)",,,verb,"burrow-emeneau1972den1[p. 401, entry 502]",,DEN I (1972) records this reflex under old main 502; resolved to current DEDR d587.,burrow-emeneau1972den1:p401:u011:f002,,,,source-addition
Manda,d587,uhpa-,id.,,,verb,"burrow-emeneau1972den1[p. 401, entry 502]",,DEN I (1972) records this reflex under old main 502; resolved to current DEDR d587.,burrow-emeneau1972den1:p401:u011:f003,,,,source-addition
koya,d588,uḍk ēru,hot water,,,source label: Koya Su.; noun,"burrow-emeneau1972den1[p. 401, entry 504]",,DEN I (1972) records this reflex under old main 504; resolved to current DEDR d588.,burrow-emeneau1972den1:p401:u012:f001,,,,source-addition
mudu,d953,oḍki,to sweep,,,"source label: Mudu dial., LSB 10.10; verb","burrow-emeneau1972den1[p. 401, entry 506]",,DEN I (1972) records this reflex under old main 506; resolved to current DEDR d953.,burrow-emeneau1972den1:p401:u013:f001,,,,source-addition
Tulu,d591,uḷůṅgů,a tick found on the body of animals,,,source label: B-K; noun,"burrow-emeneau1972den1[p. 401, entry 508]",,DEN I (1972) records this reflex under old main 508; resolved to current DEDR d591.,burrow-emeneau1972den1:p401:u014:f001,,,,source-addition
Gondi,d591,uṛum,tick,,,source label: D. Mu.; noun,"burrow-emeneau1972den1[p. 401, entry 508]",,DEN I (1972) records this reflex under old main 508; resolved to current DEDR d591.,burrow-emeneau1972den1:p401:u014:f002,,,,source-addition
